Compound Name,L-Glycine,L-Alanine,L-Serine,L-Proline,L-Valine,L-Threonine,L-Cysteine,L-Isoleucine,L-Leucine,L-Aspartic Acid,L-Asparagine,L-Glutamine,L-Lysine,L-Glutamate,L-Methionine,L-Histidine,L-Phenylalanine,L-Arginine,L-Tyrosine,L-Tryptophan
Formula,C2 H5 N O2,C3 H7 N O2,C3 H7 N O3,C5 H9 N O2,C5 H11 N O2,C4 H9 N O3,C3 H7 NO2 S,C6 H13 N O2,C6 H13 N O2,C4 H7 N O4,C4 H8 N2 O3,C5 H10 N2 O3,C6 H14 N2 O2,C5 H9 N O4,C5 H11 N O2 S,C6 H9 N3 O2,C9 H11 N O2,C6 H14 N4 O2,C9 H11 N O3,C11 H12 N2 O2
C27,/,/,5385 ,335349 ,116705 ,39212 ,/,127908 ,67299 ,2933 ,1571 ,126474 ,143549 ,35024 ,2012 ,202870 ,141257 ,160685 ,14509 ,73921 
C28,/,/,7043 ,306563 ,115507 ,40454 ,/,150334 ,66337 ,3201 ,3603 ,120337 ,147169 ,35835 ,2821 ,252135 ,180895 ,207610 ,16510 ,77933 
C29,/,/,11471 ,470803 ,130680 ,55506 ,/,152240 ,70490 ,2183 ,6541 ,169832 ,166645 ,26770 ,2739 ,274421 ,150553 ,176842 ,14779 ,78435 
C30,/,/,9183 ,323822 ,140037 ,52468 ,/,185245 ,93922 ,3511 ,6628 ,132017 ,184169 ,35923 ,2200 ,238777 ,153724 ,208864 ,13895 ,60659 
C31,/,/,7103 ,309279 ,124328 ,35264 ,/,124186 ,124822 ,1786 ,3392 ,116586 ,96067 ,32406 ,1404 ,207743 ,120392 ,137774 ,14161 ,51653 
C32,/,/,6621 ,440949 ,161503 ,62937 ,/,175618 ,91835 ,2550 ,2591 ,145988 ,125347 ,39007 ,2772 ,250507 ,166256 ,158032 ,19816 ,85966 
C33,/,/,4585 ,282738 ,119528 ,37521 ,/,96831 ,48991 ,1850 ,2726 ,103313 ,80622 ,23120 ,1434 ,203450 ,133159 ,90221 ,13130 ,90463 
C34,/,/,8642 ,310800 ,187923 ,73502 ,/,232399 ,143360 ,2801 ,7861 ,153121 ,240666 ,30994 ,3181 ,341303 ,172794 ,225534 ,19827 ,85929 
C35,/,/,10464 ,289810 ,158037 ,67582 ,/,200059 ,100020 ,2158 ,3021 ,132584 ,121666 ,20407 ,3019 ,254271 ,167293 ,172370 ,15618 ,70945 
C36,/,/,9176 ,423659 ,150628 ,58063 ,/,185653 ,76211 ,2071 ,8367 ,100208 ,241950 ,28279 ,3846 ,381649 ,183030 ,352633 ,21325 ,87098 
C37,/,/,5095 ,341044 ,156449 ,54191 ,/,170053 ,70827 ,2984 ,3433 ,140672 ,152169 ,34857 ,1839 ,226543 ,161332 ,92679 ,14116 ,69934 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
